airport_id,airport_name,airport_city,airport_country,latitude,longitude
UTK,Utirik Airport,MH-UTI,MH,169.852005,11.222
OCA,Ocean Reef Club Airport,US-FL,US,-80.274803161621,25.325399398804
PQS,Pilot Station Airport,US-AK,US,-162.899994,61.934601
CSE,Crested Butte Airpark,US-CO,US,-106.928341,38.851918
JCY,LBJ Ranch Airport,US-TX,US,-98.6224975586,30.2518005371
PMX,Metropolitan Airport,US-MA,US,-72.3114013672,42.2233009338
WLR,Loring Seaplane Base,US-AK,US,-131.636993408,55.6012992859
NUP,Nunapitchuk Airport,US-AK,US,-162.440454,60.905591
PTC,Port Alice Seaplane Base,US-AK,US,-133.597,55.803
ICY,Icy Bay Airport,US-AK,US,-141.662002563,59.96900177
PPV,Port Protection Seaplane Base,US-AK,US,-133.61000061035,56.328800201416
KKK,Kalakaket Creek AS Airport,US-AK,US,-156.820392609,64.4166256967
MHS,Dunsmuir Muni-Mott Airport,US-CA,US,-122.272003,41.263199
GCT,Grand Canyon Bar Ten Airstrip,US-AZ,US,-113.231003,36.259701
ELW,Ellamar Seaplane Base,US-AK,US,-146.704038,60.893818
LVD,Lime Village Airport,US-AK,US,-155.440002441,61.3591003418
HGZ,Hog River Airport,US-AK,US,-155.6690063,66.2161026
OTN,Ed-Air Airport,US-IN,US,-87.4997024536,38.851398468
TLF,Telida Airport,US-AK,US,-153.26899719238,63.393901824951
BZT,Eagle Air Park,US-TX,US,-95.579696655273,28.982200622559
HBH,Entrance Island Seaplane Base,US-AK,US,-133.43848,57.412201
FAK,False Island Seaplane Base,US-AK,US,-135.212997437,57.5321998596
BYW,Blakely Island Airport,US-WA,US,-122.825996399,48.5789985657
DRF,Drift River Airport,US-AK,US,-152.162002563,60.5889015198
BDF,Rinkenberger Restricted Landing Area,US-IL,US,-89.6156997681,41.2308998108
VRS,Roy Otten Memorial Airfield,US-MO,US,-92.875198364258,38.427799224854
GDH,Golden Horn Lodge Seaplane Base,US-AK,US,-158.875,59.7470016479
ATT,Atmautluak Airport,US-AK,US,-162.272995,60.866699
LIV,Livengood Camp Airport,US-AK,US,-148.6534,65.467
PDB,Pedro Bay Airport,US-AK,US,-154.12399292,59.7896003723
KOZ,Ouzinkie Airport,US-AK,US,-152.496715,57.925362
TNK,Tununak Airport,US-AK,US,-165.27200317383,60.575500488281
EVA,Ben Bruce Memorial Airpark,US-TX,US,-94.0735015869,30.3209991455
